
------- DEVICE 0 -------
name                Tesla K20Xm
Compatibility       3.5
clockRate (MHz)     732
memClockRate (MHz)  2600
totalGlobalMem      6039339008
totalConstMem       65536
l2CacheSize         1572864
sharedMemPerBlock   49152
regsPerBlock        65536
warpSize            32
memPitch            2147483647
maxThreadsPerBlock  1024
maxThreadsPerMP     2048
multiProcessorCount 14
maxThreadsDim[3]    1024,1024,64
maxGridSize[3]      2147483647,65535,65535
textureAlignment    512
deviceOverlap       1

Using threads: square 256, splice 128.
Starting M525457 fft length = 32K
|   Date     Time    |   Test Num     Iter        Residue        |    FFT   Error     ms/It     Time  |       ETA      Done   |
|  Nov 05  08:43:12  |    M525457     10000  0xcd3664500ebdb53e  |    32K  0.00078   0.0808    0.80s  |         0:41   1.90%  |
|  Nov 05  08:43:13  |    M525457     20000  0x7fae63028ec24110  |    32K  0.00079   0.0809    0.80s  |         0:40   3.80%  |
|  Nov 05  08:43:13  |    M525457     30000  0x9ac817b10fb4c2bf  |    32K  0.00079   0.0802    0.80s  |         0:39   5.70%  |
|  Nov 05  08:43:14  |    M525457     40000  0xd34085f6371dfbb2  |    32K  0.00076   0.0808    0.80s  |         0:39   7.61%  |
|  Nov 05  08:43:15  |    M525457     50000  0x4ead52bbe5b3ab06  |    32K  0.00089   0.0810    0.81s  |         0:38   9.51%  |
|  Nov 05  08:43:16  |    M525457     60000  0x435831eacd1cd739  |    32K  0.00079   0.0811    0.81s  |         0:37  11.41%  |
|  Nov 05  08:43:17  |    M525457     70000  0x9c9292215e4363af  |    32K  0.00073   0.0802    0.80s  |         0:36  13.32%  |
|  Nov 05  08:43:17  |    M525457     80000  0x069a4d4734e2547e  |    32K  0.00079   0.0806    0.80s  |         0:35  15.22%  |
|  Nov 05  08:43:18  |    M525457     90000  0x213b61f345562f75  |    32K  0.00085   0.0814    0.81s  |         0:35  17.12%  |
|  Nov 05  08:43:19  |    M525457    100000  0x8033adf7b27d7c0b  |    32K  0.00085   0.0810    0.81s  |         0:34  19.03%  |
|  Nov 05  08:43:20  |    M525457    110000  0x8413ccdeb70dd378  |    32K  0.00079   0.0810    0.81s  |         0:33  20.93%  |
|  Nov 05  08:43:21  |    M525457    120000  0x8e87e22b5c0c0d41  |    32K  0.00077   0.0801    0.80s  |         0:32  22.83%  |
|  Nov 05  08:43:22  |    M525457    130000  0x98717e6a48ed104e  |    32K  0.00079   0.0805    0.80s  |         0:31  24.74%  |
|  Nov 05  08:43:22  |    M525457    140000  0x71a322b96d2fb0f7  |    32K  0.00079   0.0801    0.80s  |         0:31  26.64%  |
|  Nov 05  08:43:23  |    M525457    150000  0xd4af500662912de4  |    32K  0.00079   0.0805    0.80s  |         0:30  28.54%  |
|  Nov 05  08:43:24  |    M525457    160000  0x9fb998a1fd942405  |    32K  0.00079   0.0801    0.80s  |         0:29  30.44%  |
|  Nov 05  08:43:25  |    M525457    170000  0x6a99ad32aa71e89a  |    32K  0.00079   0.0810    0.81s  |         0:28  32.35%  |
|  Nov 05  08:43:26  |    M525457    180000  0x7f56129a9e68cfdb  |    32K  0.00085   0.0810    0.81s  |         0:27  34.25%  |
|   Date     Time    |   Test Num     Iter        Residue        |    FFT   Error     ms/It     Time  |       ETA      Done   |
|  Nov 05  08:43:26  |    M525457    190000  0x1c0ae9dc831d90f0  |    32K  0.00082   0.0810    0.81s  |         0:27  36.15%  |
|  Nov 05  08:43:27  |    M525457    200000  0x3ee8bb05fea60de8  |    32K  0.00079   0.0811    0.81s  |         0:26  38.06%  |
|  Nov 05  08:43:28  |    M525457    210000  0x27d845d39fb4e89d  |    32K  0.00083   0.0806    0.80s  |         0:25  39.96%  |
|  Nov 05  08:43:29  |    M525457    220000  0x6ba32616183ac38d  |    32K  0.00076   0.0804    0.80s  |         0:24  41.86%  |
|  Nov 05  08:43:30  |    M525457    230000  0x11a35827834c3651  |    32K  0.00081   0.0810    0.81s  |         0:23  43.77%  |
|  Nov 05  08:43:30  |    M525457    240000  0xdad8c306bf665641  |    32K  0.00082   0.0803    0.80s  |         0:23  45.67%  |
|  Nov 05  08:43:31  |    M525457    250000  0x24499f258363c145  |    32K  0.00079   0.0801    0.80s  |         0:22  47.57%  |
|  Nov 05  08:43:32  |    M525457    260000  0x8f2e7bcd43fa4851  |    32K  0.00078   0.0804    0.80s  |         0:21  49.48%  |
|  Nov 05  08:43:33  |    M525457    270000  0xa97b8a3e0cc2723d  |    32K  0.00079   0.0804    0.80s  |         0:20  51.38%  |
|  Nov 05  08:43:34  |    M525457    280000  0xa3186da870370f42  |    32K  0.00079   0.0804    0.80s  |         0:19  53.28%  |
|  Nov 05  08:43:34  |    M525457    290000  0x1d1184a376c2a7a3  |    32K  0.00076   0.0807    0.80s  |         0:18  55.19%  |
|  Nov 05  08:43:35  |    M525457    300000  0x308febb2ab787646  |    32K  0.00076   0.0800    0.80s  |         0:18  57.09%  |
|  Nov 05  08:43:36  |    M525457    310000  0x5a50567f47b58f26  |    32K  0.00082   0.0809    0.80s  |         0:17  58.99%  |
|  Nov 05  08:43:37  |    M525457    320000  0x517e776ba699f057  |    32K  0.00076   0.0804    0.80s  |         0:16  60.89%  |
|  Nov 05  08:43:38  |    M525457    330000  0x7497008056ea3d63  |    32K  0.00085   0.0804    0.80s  |         0:15  62.80%  |
|  Nov 05  08:43:38  |    M525457    340000  0xa23931a294607f3b  |    32K  0.00079   0.0801    0.80s  |         0:14  64.70%  |
|  Nov 05  08:43:39  |    M525457    350000  0x3dd5257d158b7983  |    32K  0.00092   0.0806    0.80s  |         0:14  66.60%  |
|  Nov 05  08:43:40  |    M525457    360000  0xbb7822fd85e8af65  |    32K  0.00085   0.0810    0.81s  |         0:13  68.51%  |
|   Date     Time    |   Test Num     Iter        Residue        |    FFT   Error     ms/It     Time  |       ETA      Done   |
|  Nov 05  08:43:41  |    M525457    370000  0xa34e56f530036797  |    32K  0.00079   0.0804    0.80s  |         0:12  70.41%  |
|  Nov 05  08:43:42  |    M525457    380000  0x678e01a44cff0b6e  |    32K  0.00079   0.0811    0.81s  |         0:11  72.31%  |
|  Nov 05  08:43:42  |    M525457    390000  0xd178bdc092e04074  |    32K  0.00077   0.0800    0.80s  |         0:10  74.22%  |
